281.png: Dice=0.7954, IoU=0.6603
282.png: Dice=0.8782, IoU=0.7829
283.png: Dice=0.9490, IoU=0.9030
284.png: Dice=0.9226, IoU=0.8563
285.png: Dice=0.9155, IoU=0.8442
286.png: Dice=0.5007, IoU=0.3340
287.png: Dice=0.7211, IoU=0.5639
288.png: Dice=0.8327, IoU=0.7134
289.png: Dice=0.8033, IoU=0.6712
29.png: Dice=0.8248, IoU=0.7018
290.png: Dice=0.7367, IoU=0.5832
291.png: Dice=0.7453, IoU=0.5940
292.png: Dice=0.8087, IoU=0.6788
293.png: Dice=0.8434, IoU=0.7291
294.png: Dice=0.4941, IoU=0.3281
295.png: Dice=0.7982, IoU=0.6641
296.png: Dice=0.7519, IoU=0.6024
297.png: Dice=0.8298, IoU=0.7091
298.png: Dice=0.8170, IoU=0.6906
299.png: Dice=0.9037, IoU=0.8243
3.png: Dice=0.8968, IoU=0.8128
30.png: Dice=0.4001, IoU=0.2501
300.png: Dice=0.8172, IoU=0.6909
301.png: Dice=0.4381, IoU=0.2805
302.png: Dice=0.6004, IoU=0.4289
303.png: Dice=0.6066, IoU=0.4353
304.png: Dice=0.3376, IoU=0.2031
305.png: Dice=0.3307, IoU=0.1981
306.png: Dice=0.4948, IoU=0.3287
307.png: Dice=0.3672, IoU=0.2249
308.png: Dice=0.1254, IoU=0.0669
309.png: Dice=0.1595, IoU=0.0867
31.png: Dice=0.9445, IoU=0.8948
310.png: Dice=0.0951, IoU=0.0499
311.png: Dice=0.0047, IoU=0.0023
312.png: Dice=0.0739, IoU=0.0384
313.png: Dice=0.0173, IoU=0.0087
314.png: Dice=0.0000, IoU=0.0000
315.png: Dice=0.0000, IoU=0.0000
316.png: Dice=0.3738, IoU=0.2298
317.png: Dice=0.5692, IoU=0.3978
318.png: Dice=0.5496, IoU=0.3790
319.png: Dice=0.0000, IoU=0.0000
32.png: Dice=0.9475, IoU=0.9002
320.png: Dice=0.0281, IoU=0.0142
321.png: Dice=0.9731, IoU=0.9477
322.png: Dice=0.3475, IoU=0.2103
323.png: Dice=0.0000, IoU=0.0000
324.png: Dice=0.0000, IoU=0.0000
325.png: Dice=0.0000, IoU=0.0000
326.png: Dice=0.9094, IoU=0.8339
327.png: Dice=0.0000, IoU=0.0000
328.png: Dice=0.9332, IoU=0.8747
329.png: Dice=0.9665, IoU=0.9352
33.png: Dice=0.9538, IoU=0.9117
330.png: Dice=0.4503, IoU=0.2905
331.png: Dice=0.9807, IoU=0.9622
332.png: Dice=0.9045, IoU=0.8256
333.png: Dice=0.7446, IoU=0.5931
334.png: Dice=0.9607, IoU=0.9244
335.png: Dice=0.7331, IoU=0.5786
336.png: Dice=0.3427, IoU=0.2068
337.png: Dice=0.3936, IoU=0.2450
338.png: Dice=0.4621, IoU=0.3005
339.png: Dice=0.4437, IoU=0.2851
34.png: Dice=0.9591, IoU=0.9214
340.png: Dice=0.9747, IoU=0.9507
341.png: Dice=0.0000, IoU=0.0000
342.png: Dice=0.0000, IoU=0.0000
343.png: Dice=0.5065, IoU=0.3392
344.png: Dice=0.7572, IoU=0.6092
345.png: Dice=0.6618, IoU=0.4946
346.png: Dice=0.4014, IoU=0.2511
347.png: Dice=0.8359, IoU=0.7181
348.png: Dice=0.7332, IoU=0.5788
349.png: Dice=0.0274, IoU=0.0139
35.png: Dice=0.8908, IoU=0.8030
350.png: Dice=0.7276, IoU=0.5718
351.png: Dice=0.8604, IoU=0.7550
352.png: Dice=0.0000, IoU=0.0000
353.png: Dice=0.0000, IoU=0.0000
354.png: Dice=0.8750, IoU=0.7778
355.png: Dice=0.1793, IoU=0.0985
356.png: Dice=0.0033, IoU=0.0016
357.png: Dice=0.0000, IoU=0.0000
358.png: Dice=0.0000, IoU=0.0000
359.png: Dice=0.0000, IoU=0.0000
36.png: Dice=0.9476, IoU=0.9005
360.png: Dice=0.0000, IoU=0.0000
361.png: Dice=0.7875, IoU=0.6494
362.png: Dice=0.6469, IoU=0.4781
363.png: Dice=0.8399, IoU=0.7241
364.png: Dice=0.7595, IoU=0.6123
365.png: Dice=0.8422, IoU=0.7274
366.png: Dice=0.8286, IoU=0.7074
367.png: Dice=0.7671, IoU=0.6222
368.png: Dice=0.7855, IoU=0.6467
369.png: Dice=0.8300, IoU=0.7094
37.png: Dice=0.9248, IoU=0.8601
370.png: Dice=0.8008, IoU=0.6677
371.png: Dice=0.7242, IoU=0.5677
372.png: Dice=0.7646, IoU=0.6189
373.png: Dice=0.7615, IoU=0.6148
374.png: Dice=0.8228, IoU=0.6989
375.png: Dice=0.8670, IoU=0.7652
376.png: Dice=0.6804, IoU=0.5156
377.png: Dice=0.8185, IoU=0.6927
378.png: Dice=0.7682, IoU=0.6236
379.png: Dice=0.7458, IoU=0.5947
38.png: Dice=0.9084, IoU=0.8321
380.png: Dice=0.0000, IoU=0.0000
39.png: Dice=0.8287, IoU=0.7075
4.png: Dice=0.8755, IoU=0.7786
40.png: Dice=0.9145, IoU=0.8425
41.png: Dice=0.9523, IoU=0.9089
42.png: Dice=0.9545, IoU=0.9130
43.png: Dice=0.9507, IoU=0.9060
44.png: Dice=0.8789, IoU=0.7840
45.png: Dice=0.9015, IoU=0.8206
46.png: Dice=0.9516, IoU=0.9076
47.png: Dice=0.9308, IoU=0.8705
48.png: Dice=0.9493, IoU=0.9034
49.png: Dice=0.9571, IoU=0.9177
5.png: Dice=0.9603, IoU=0.9236
50.png: Dice=0.8666, IoU=0.7647
51.png: Dice=0.9002, IoU=0.8185
52.png: Dice=0.9554, IoU=0.9146
53.png: Dice=0.8368, IoU=0.7195
54.png: Dice=0.9034, IoU=0.8238
55.png: Dice=0.8849, IoU=0.7935
56.png: Dice=0.6601, IoU=0.4926
57.png: Dice=0.9366, IoU=0.8808
58.png: Dice=0.9390, IoU=0.8850
59.png: Dice=0.9331, IoU=0.8745
6.png: Dice=0.9111, IoU=0.8367
60.png: Dice=0.8842, IoU=0.7924
61.png: Dice=0.7855, IoU=0.6468
62.png: Dice=0.9733, IoU=0.9480
63.png: Dice=0.9538, IoU=0.9116
64.png: Dice=0.9274, IoU=0.8646
65.png: Dice=0.9072, IoU=0.8301
66.png: Dice=0.9344, IoU=0.8768
67.png: Dice=0.8608, IoU=0.7556
68.png: Dice=0.8184, IoU=0.6927
69.png: Dice=0.9273, IoU=0.8645
7.png: Dice=0.9534, IoU=0.9110
70.png: Dice=0.5911, IoU=0.4196
71.png: Dice=0.6179, IoU=0.4471
72.png: Dice=0.9457, IoU=0.8970
73.png: Dice=0.9388, IoU=0.8846
74.png: Dice=0.9334, IoU=0.8751
75.png: Dice=0.9063, IoU=0.8286
76.png: Dice=0.9609, IoU=0.9248
77.png: Dice=0.8969, IoU=0.8131
78.png: Dice=0.8341, IoU=0.7154
79.png: Dice=0.8926, IoU=0.8060
8.png: Dice=0.9088, IoU=0.8328
80.png: Dice=0.8946, IoU=0.8093
81.png: Dice=0.8550, IoU=0.7468
82.png: Dice=0.9003, IoU=0.8188
83.png: Dice=0.8294, IoU=0.7086
84.png: Dice=0.8999, IoU=0.8180
85.png: Dice=0.9279, IoU=0.8654
86.png: Dice=0.8878, IoU=0.7982
87.png: Dice=0.9279, IoU=0.8655
88.png: Dice=0.8843, IoU=0.7927
89.png: Dice=0.9091, IoU=0.8333
9.png: Dice=0.9327, IoU=0.8739
90.png: Dice=0.8485, IoU=0.7368
91.png: Dice=0.9185, IoU=0.8493
92.png: Dice=0.8687, IoU=0.7679
93.png: Dice=0.8540, IoU=0.7452
94.png: Dice=0.8928, IoU=0.8063
95.png: Dice=0.9406, IoU=0.8879
96.png: Dice=0.9115, IoU=0.8374
97.png: Dice=0.9297, IoU=0.8686
98.png: Dice=0.9514, IoU=0.9073
99.png: Dice=0.9559, IoU=0.9156
